file;title_en;type_en;text_en;title_fr;type_fr;text_fr
../TacticsCards/ESCHER/Gas Trap.png;Gas Trap;Escher Tactics;"Play this at the start of the battle when setting up
your gang. Pick any of your fighters to carry the
trap, and put this card under their card. Once
during the game, the fighter, as long as they are
Active, can Set Gas Trap (Double) - Place a Gas
Trap marker within 1"" of the fighter. Then they
can move up to D6"". If the fighter goes Out of
Action before making this action, roll a D6. On a
1, the trap triggered (centred on the fighter's base)
On a 2-3, place a Gas Trap marker where the
fighter stood. On a 4+, discard this card.";Piège à gaz;Escher;"Jouez cette tactique au début de la bataille lors de la mise en place votre gang. Choisissez l'un de vos combattants pour porter un piège et placez cette carte sous sa carte. Une fois pendant le jeu, le combattant, peut déposer un piège à gaz (double) - Placer un marqueur piège à gaz à 1"" ou moins du combattant. Ensuite, il peut avancer jusqu'à D6"". Si le combattant est mis Out of Action avant d'effectuer cette action, lancez 1D6. Sur un 1, le piège est déclenché (centrez le gabarit sur le socle du combattant) Sur 2-3, placez un marqueur Piège à Gaz à l'endroit où se trouvais le combattant. Sur 4+, défaussez cette carte."
../TacticsCards/ESCHER/Gifts of the Matron.png;Gifts of the Matron;Escher Tactics;"Play this gang tactic when activating

a fighter.

The fighter can choose to apply a single
Chem-alchemy Stimm effect to themselves.";Dons de la Matrone;Escher;Jouez cette tactique lors de l'activation un combattant. Le combattant peut choisir d'appliquer un seul effet Chem-alchemy Stimm sur eux-mêmes.
../TacticsCards/ESCHER/Hit and Run.png;Hit and Run;Escher Tactics;"Play this gang tactic at the start of the End
phase.

Choose three of your fighters. These
fighters may make a free Move (Simple)
action or a Retreat (Basic) action.";Frappe et fuite;Escher;Jouez cette tactique au début de la phase de fin. Choisissez trois de vos combattants. Ces les combattants peuvent effectuer un mouvement gratuit (simple) ou une action Retraite (Basique).
../TacticsCards/ESCHER/Kill Count.png;Kill Count;Escher Tactics;"Play this tactic at the start of the Action phase.
Choose a number between | and 6. If this
number of enemy fighters are Seriously Injured
or taken OOA as a result of attacks made by your
fighters this round (fighters fleeing the battle as
a result of failing a Bottle test don't count) then
your gang’s Leader earns XP equal to the number
chosen if she's part of your crew for this battle.
If your crew doesn't include a fighter with the
Leader (Escher) special rule, you may discard
this gang tactic and select another.";Décompte des victimes;Escher;Jouez cette tactique au début de la phase d'action. Choisissez un numéro entre 1 et 6. Si ce nombre de combattants ennemis est grièvement blessé ou mis Out of Action à la suite d'attaques lancées par vos combattants ce tour (les combattants fuyant la bataille ne compte pas), alors le leader de votre gang gagne un nombre d’XP égal au nombre choisi s’il fait partie de votre gang pour cette bataille. Si votre gang ne comprend pas de combattant avec le Règle spéciale Leader (Escher), vous pouvez vous défausser cette tactique de gang et en choisir une autre.
../TacticsCards/ESCHER/Mistress of Death.png;Mistress of Death;Escher Tactics;"Play this gang tactic when a friendly |
Death-maiden takes an enemy fighter Out
of Action. |
The Death-maiden's activation immediately
ends, but she immediately becomes |
Standing and Active, and can be activated _
again this round.";Maîtresse de la mort;Escher;Jouez cette tactique lorsque une Death maiden allié élimine un combattant ennemi. L'activation de cette Death maiden se termine immédiatement, mais elle devient immédiatement Debout et Active, et peut être activée à nouveau ce tour.
../TacticsCards/ESCHER/Not so Easy....png;Not so Easy...;Escher Tactics;"| Play at the start of any round after the
opposing gang has bottled out.

When making Nerve tests for opposing |
fighters to see if they flee, subtract 2 from
the result if they are within 3"" of a fighter
from this gang.";Pas si facile...;Escher;"Jouez cette tactique au début d’un tour après que le gang adverse ait loupé so Bottle test. Lors des Nerve test des combattants adverses, soustrayez 2 au résultat s'ils sont à au moins 3"" d'un combattant de votre gang."
../TacticsCards/ESCHER/Predatory Phyrr.png;Predatory Phyrr;Escher Tactics;"Play this gang tactic of the Action phase.
For the duration of the round, enemy
fighters become subject to the Horrors in
the Dark special rule as detailed in the
Necromunda Rulebook.";Phyrr prédateur;Escher;Jouez cette tactique au début de la phase d’action. Pendant toute la durée du round, les combattants ennemis deviennent sujets à la règle Horrors in the Dark comme détaillée dans le Livre de règles de Necromunda.
../TacticsCards/ESCHER/Put Them Down!.png;Put Them Down!;Escher Tactics;"| Play at the end of any Action phase.

Any Seriously Injured enemy fighters that
are within 2” of an Active fighter from this _
gang are immediately taken Out of Action.";Abattez-les !;Escher;"Jouez cette tactique à la fin de une phase d’action. Tout combattant ennemi Seriously injured à au moins 2"" d'un combattant actif de ce le gang est immédiatement mis Out of Action."
../TacticsCards/ESCHER/Queen of the Hive.png;Queen of the Hive;Escher Tactics;"Play this gang tactic at the start of the Action
phase. For the duration of this round, enemy
fighters must pass a Willpower check if they wish
to target a fighter in your crew with the Leader
(Escher) special rule with a Shoot or Fight (Basic)
action. If this check is failed they may choose

a different target, ignoring the fighter with the
Leader (E.) special rule for the purposes of the
Target Priority rule. If your crew doesn't

include a fighter with the Leader (E.) special
rule, you may discard this tactic and select anothe!";Reine de la Ruche;Escher;Jouez cette tactique au début de la phase d’action. Pour la durée de ce tour, les combattants ennemis doivent réussir un test de Willpower s'ils souhaitent cibler un combattant de votre gang avec la règle Leader (Escher) avec un Tir ou un Combat (Basique). Si le test échoue, il peut choisir une cible différente, ignorant le combattant avec la règle spéciale Leader pour les besoins de la règle Target priority. Si votre gang n’inclue pas de combattant avec le spécial Leader (), vous pouvez défausser cette tactique et en sélectionner une autre.
../TacticsCards/ESCHER/Rain of Blades.png;Rain of Blades;Escher Tactics;"| 1
Play this gang tactic when activating |
_a fighter. |
|The fighter can immediately make a Charge |
(Double) action. This charge is a free action
-and does not count against their normal |
allotment of actions this activation.
|

|";Pluie de lames;Escher;Jouez cette tactique lors de l'activation d’un combattant. Ce combattant peut immédiatement effectuer une action Charge (Double). Cette charge est une action gratuite et ne compte pas parmi leur attribution d’actions normale pour cette activation.
../TacticsCards/ESCHER/Running Battle.png;Running Battle;Escher Tactics;"Play this gang tactic when activating a fighter.
The active fighter may make a Run and Gun
(Double) action as if they had the Hip Shooting
skill. If the fighter is part of a Group Activation
then all fighters involved in the Group Activation
may make a Run and Gun (Double) action.";Combat mobile;Escher;Jouez cette tactique lors de l'activation d'un combattant. Le combattant actif peut effectuer une action Run and Gun (Double) comme s'il avait la compétence Hip Shooting. Si le combattant fait partie d'une activation de groupe puis tous les combattants impliqués dans l'activation du groupe peuvent effectuer une action Run and Gun (Double).
../TacticsCards/ESCHER/Scrag.png;Scrag;Escher Tactics;"| Play this card after one of your fighters puts
an enemy out of action in close combat.
Enemy fighters must make a Nerve testif
they are within 9"" rather than 3"" (they must
still be visible). In addition, subtract 2 from
the result of any Nerve tests made for
fighters within 3"".";Buter;Escher;"Jouez cette tactique après qu'un de vos combattants ait mis un ennemi Out of Action au corps à corps. Les combattants ennemis doivent faire un Nerve test s’ils sont à au moins 9"" plutôt que de 3"" (il doivent toujours être en ligne de vue). De plus, appliquez un malus de -2 de tout Nerve test effectué pour combattants à au moins 3""."
../TacticsCards/ESCHER/Search and Scrag.png;Search and Scrag;Escher Tactics;"Play this gang tactic when an enemy fighter fails
a Nerve test.

After the enemy fighter has completed their Run
for Cover (Double) action, any of your fighters
within 12"" of them may make a Move (Simple)
action. They must end this free move closer to
the Broken fighter.";Trouver et buter;Escher;"Jouez cette tactique lorsqu'un combattant ennemi échoue un Nerve test. Une fois que le combattant ennemi a terminé son action Run for cover(double), n'importe lequel de vos combattants à au moins 12"" de lui peut effectuer une action de mouvement (simple). Il doit cependant se rapprocher du combattant broken."
../TacticsCards/ESCHER/Shivver Prophesy.png;Shivver Prophesy;Escher Tactics;"Play this gang tactic at the start of the End |
phase.

Roll 2D6. If the result is equal to orlower |
than the current game round, play one more
full round. The game then ends and victory
conditions and rewards are worked out as
normal. |";Prophétie Shivver;Escher;Jouez cette tactique au début de la phase de fin. Lancez 2D6. Si le résultat est égal ou inférieur que le tour de jeu en cours, jouez un tour complet en plus. Puis la partie se termine, la victoire et les récompenses sont résolus comme définies par le scénario.
../TacticsCards/ESCHER/Side by Side.png;Side by Side;Escher Tactics;"Play instead of activating a fighter. |
Untul the end of this round, any assists that |
are granted by fighters from this gang grant |
a +2 bonus to the hit roll (instead of +1).";Côte à côte;Escher;Jouez cette tactique au lieu d'activer un combattant. Jusqu'à la fin de ce tour, toutes les assistances accordées par les combattants de ce gang donnent un bonus de +2 au jet de touche (au lieu de +1).
../TacticsCards/ESCHER/Siren Howls.png;Siren Howls;Escher Tactics;"| Play at the start of any End phase.

Untul the start of the next End phase, add 1
to the result of any Bottle tests made for the |
enemy gang. In addition, Broken enemy
fighters cannot rally.";La sirène hurle;Escher;Jouez au début de une phase de fin. Jusqu'au début de la prochaine phase de fin, ajoutez 1 au résultat de tous les tests de Bottle test effectués par le gang ennemie. De plus, les combattants ennemis Broken ne peuvent pas se rallier.
../TacticsCards/ESCHER/Sisterhood of Violence.png;Sisterhood of Violence;Escher Tactics;"Play this gang tactic when an enemy fighter |
is taken Out of Action as a result of an
attack made by a friendly fighter. |
After completing the current fighter's
activation, immediately activate a friendly
fighter within 12"" of the fighter who just
activated. |";Sororité de la violence;Escher;"Jouez cette tactique lorsqu'un combattant ennemi est mis Out of action à la suite d'un attaque effectuée par un combattant allié. À la fin de l’activation de ce combattant, activez immédiatement un combattant allié à au moins 12""."
../TacticsCards/ESCHER/Stealthy Advance.png;Stealthy Advance;Escher Tactics;"| Play this card after both gangs have been
set up at the start of the battle, before the
first round begins.

Up to half of the fighters in your crew
(rounding up) can immediately make a
Standard Move.";Progression furtive;Escher;Jouez cette tactique une fois que les deux gangs ont été déployés au début de la bataille, avant le le premier tour commence. Jusqu'à la moitié des combattants de votre gang (arrondi au supérieur) peut immédiatement faire un Mouvement standard.
../TacticsCards/ESCHER/Swift Redeployment.png;Swift Redeployment;Escher Tactics;"| Play this card instead of activating a fighter.
Roll a D3. All of your fighters can
immediately move that many inches, even if |
they have already been activated this round.";Redéploiement rapide;Escher;Jouez cette tactique au lieu d'activer un combattant. Lancez un D3. Tous vos combattants peuvent se déplacer immédiatement de cette distance, même si ils ont déjà été activés ce tour-ci.
../TacticsCards/ESCHER/Three-Point Landing.png;Three-Point Landing;Escher Tactics;"Sector Mechanicus only. |
Play when a fighter falls. |
The fighter is not Pinned by the fall and
does not suffer a hit. If they still have any
actions to take, they can take them. |";Atterrissage en trois points;Escher;Secteur Mechanicus uniquement. Jouez cette tactique quand un combattant tombe. Le combattant n'est pas mis à terre (pinned) par la chute et ne subit pas de touche (hit). S'il a encore des actions à entreprendre, ils peut continuer à jouer.
../TacticsCards/ESCHER/Tunnel Runners.png;Tunnel Runners;Escher Tactics;"Zone Mortalis only. |
Play at the start of any round. |
For the duration of the round, all friendly
fighters can move through pitfalls and
ductways as though they were clear terrain. |
They cannot end their turn on them. |";Coureurs de tunnels;Escher;Zone Mortalis uniquement. Jouez cette tactique au début d’un tour. Pendant toute la durée du round, tous les combattants alliés peuvent traverser des ravins (pitfalls) et conduits (ductways) comme s'il s'agissait d'un terrain dégagé. Ils ne peuvent pas mettre finir leur tour sur eux.
../TacticsCards/ESCHER/Ultra-Violence.png;Ultra-Violence;Escher Tactics;"| Play instead of activating a fighter.

For the remainder of the round, all weapons
with the Melee trait gain Parry - if they did
not already have it - and increase their AP

by -1.";Ultra-violence;Escher;Jouez cette tactique au lieu d'activer un combattant. Pour le reste du round, toutes les armes avec le trait Mêlée, gagnez la parade - s'ils l'ont fait ne l'ont pas déjà - et augmentent leur AP de 1.
../TacticsCards/ESCHER/Unexpected Help.png;Unexpected Help;Escher Tactics;"Play this gang tactic at the start of the End |
phase.
Choose a fighter in your gang who was not |
included as part of your crew for this |
scenario. This fighter immediately arrives |
using the rules for Reinforcements.";Aide inattendue;Escher;Jouez cette tactique au début de la phase de fin phase. Choisissez un combattant dans votre gang qui n'était pas inclus dans votre gang de départ pour ce scénario. Ce combattant arrive immédiatement en utilisant les règles des renforts.
../TacticsCards/ESCHER/Wyld Hunt.png;Wyld Hunt;Escher Tactics;"Play this tactic at the start of the Deployment step
of the pre-battle sequence, before any fighters
have been deployed. Your gang may immediately
recruit a Wyld Runner and two Phelynx. These
fighters are recruited for free but will leave

the gang at the end of this battle. Wyld Runner

is armed with a whip and thr. knives. These are
not counted towards your max. crew size - they're
taken in addition to your starting crew. If you do
not have models to represent them, you may
discard this gang tactic and select another.";Chasse sauvage;Escher;Jouez cette tactique au début de l'étape de déploiement de la séquence pré-bataille, avant que les combattants aient été déployés. Votre gang peut immédiatement recrutez une Wyld Runner et deux Phelynx. Ces combattants sont recrutés gratuitement mais partiront du gang à la fin de cette bataille. La Wyld Runner est armé d'un whip et d'un throwing knife. Ils ne comptent pas dans votre taille maximum de gang.
../TacticsCards/ESCHER VEHICLES/Ash Waste Hitchhiker.png;Ash Waste Hitchhiker;Escher Vehicle Tactics;"Play this gang tactic when a friendly fighter has
failed an Initiative check to jump onto or off

a vehicle.

The Initiative check can be re-rolled.";Auto-stoppeur des Désolations Cendrées;Véhicules Escher;Jouez cette tactique lorsqu'un combattant allié a échoué un test d’Initiative pour sauter sur ou hors d’un véhicule. Le test d’Initiative peut être relancé.
../TacticsCards/ESCHER VEHICLES/Biker Bounty.png;Biker Bounty;Escher Vehicle Tactics;"Play this gang tactic during the post-battle
sequence when receiving scenario rewards.

Add D3x5 credits to your oe Stash for each
enemy fighter subject to the Mounted condition
taken Out of Action during this battle.";Prime de motard;Véhicules Escher;Jouez cette tactique pendant la phase d'après-bataille lors de la réception des récompenses du scénario. Ajoutez des crédits D3x5 à votre réserve d'origine pour chaque combattant ennemi Monté mis Out of Action au cours de cette bataille.
../TacticsCards/ESCHER VEHICLES/Chem Exhausts.png;Chem Exhausts;Escher Vehicle Tactics;"Play this gang tactic when activating a friendly
Mobile vehicle before performing any actions.
Once the vehicle's activation has finished, any
fighters that were within 1"" of the vehicle at
any point during its activation suffer

an automatic hit as if they were hit by a weapon
with the Toxin and Gas traits.";Échappements chimiques;Véhicules Escher;"Jouez cette tactique lors de l'activation d'un ami Véhicule, avant d'effectuer toute action. Une fois l'activation du véhicule terminée, tout combattants qui se trouvaient à au moins 1"" du véhicule à un moment pendant son activation subit une touche automatique comme s'il était touché par une arme avec les traits Toxin et Gas."
../TacticsCards/ESCHER VEHICLES/Chemical Fuel Wizardry.png;Chemical Fuel Wizardry;Escher Vehicle Tactics;"Play this gang tactic at the beginning of the battle
before the first roll for Initiative.

For the duration of the battle, a friendly vehicle
increases its Movement characteristic by 2"". In
addition, at the end of each of its activations roll
a D6; on a roll of 1 the vehicle loses 1 Hull Point.";Sorcellerie du carburant chimique;Véhicules Escher;"Jouez cette tactique au début de la bataille avant le premier jet d’Initiative. Pendant toute la durée de la bataille, un véhicule allié augmente sa caractéristique de Mouvement de 2"". de plus, à la fin de chacune de ses activations lancez un D6 ; sur un résultat de 1, le véhicule perd 1 point de coque."
../TacticsCards/ESCHER VEHICLES/Corrosive Gas.png;Corrosive Gas;Escher Vehicle Tactics;"Play this gang tactic at the beginning of the battle
before the first roll for Initiative.

For the duration of the battle, D3 weapons with
the Gas trait add 1 to any rolls to damage vehicles";Gaz corrosif;Véhicules Escher;Jouez cette tactique au début de la bataille avant le premier jet d’Initiative. Pendant toute la durée de la bataille, D3 armes avec le trait Gas ajoute 1 à tous les jets pour endommager les véhicules
../TacticsCards/ESCHER VEHICLES/Death or Glory.png;Death or Glory;Escher Vehicle Tactics;"Play this gang tactic when a friendly Standing
and Active fighter is moved as a result of a
vehicle impact, before making an Initiative check
to dodge.

The fighter may immediately make a single

close combat attack against the vehicle. They
automatically fail the Initiative check to dodge
unless the vehicle is Wrecked as a result of this
attack.";Mort ou gloire;Véhicules Escher;Jouez cette tactique lorsqu'un combattant allié debout est déplacé suite à un impact de véhicule, avant d'effectuer le test d'Initiative esquiver. Le combattant peut immédiatement faire un seul attaque de combat rapproché contre le véhicule. Il échoue automatiquement au test d’Initiative pour esquiver sauf si le véhicule est détruit à la suite de cette attaque.
../TacticsCards/ESCHER VEHICLES/Full Throttle!.png;| Full Throttle!;Escher Vehicle Tactics;"Play this tactic card during the Action phase
instead of activating a model.

A friendly vehicle that does not have a Ready
marker may immediately activate. During this
activation the vehicle may only perform one
action and it must be a Move (Simple) action.
After the vehicle has finished its activation, make
a Loss of Control test for the vehicle.";Plein gaz !;Véhicules Escher;Jouez cette tactique pendant la phase d'action au lieu d'activer un modèle. Un véhicule allié qui n'a pas de marqueur Ready peut s’activer immédiatement. Pendant cette activation, le véhicule ne peut effectuer qu'une seule action et il doit s'agir d'une action de déplacement (simple). Une fois que le véhicule a terminé son activation, effectuez un test de perte de contrôle du véhicule.
../TacticsCards/ESCHER VEHICLES/IT’S GONNA BLOW!!!.png;IT’S GONNA BLOW!!!;Escher Vehicle Tactics;"Play this gang tactic after a friendly vehicle is
Wrecked, before rolling on the Lasting Damage
table.

The vehicle explodes; all models within D6"" take
a S6, AP-1, D1 hit and the vehicle is then
removed from the battlefield. When rolling on
the Lasting Damage table for the vehicle, add 1
to the result.";Ça va exploser ! ! !;Véhicules Escher;"Jouez cette tactique après qu'un véhicule allié soit détruit, avant de lancer sur le tableau Lasting damage. Le véhicule explose ; tous les figurines à D6"" subissent une touche automatique S6, AP-1, D1 et le véhicule est alors retiré du champ de bataille. Lors du jet sur le tableau Lasting damage du véhicule, ajoutez 1 au résultat."
../TacticsCards/ESCHER VEHICLES/Jink!.png;Jink!;Escher Vehicle Tactics;"Play this gang tactic after a friendly fighter
subject to the Mounted condition is hit by

a ranged attack, before rolling to avoid being
Pinned.

The fighter makes an immediate Initiative
check. If the check is passed then the fighter
is not hit by the attack.";Embardée !;Véhicules Escher;Jouez cette tactique après un combattant allié Monté soit touché par une attaque à distance, avant de tester pour éviter d'être Cloué. Le combattant fais un test d’initiative. Si le test est réussi, alors le combattant n'est pas touché par l'attaque.
../TacticsCards/ESCHER VEHICLES/Jumping the Gun.png;Jumping the Gun;Escher Vehicle Tactics;"Play this gang tactic at the beginning of the battle
before the first roll for Initiative.

D3 friendly fighters subject to the Mounted
condition may immediately make a Move
(Simple) action.";Départ précipité;Véhicules Escher;Jouez cette tactique au début de la bataille avant le premier jet d’Initiative. D3 combattants alliés Montés peuvent immédiatement effectuer une action de mouvement (Simple).
../TacticsCards/ESCHER VEHICLES/Race Away.png;Race Away;Escher Vehicle Tactics;"Play this gang tactic after a friendly fighter
subject to the Mounted condition has made

a Fight (Basic) action, but before Reaction
attacks are made.

The fighter may immediately perform a free
Retreat (Basic) action. Reaction attacks can only
be made if the fighter is still Engaged with the
enemy fighter.";Décrochage rapide;Véhicules Escher;Jouez cette tactique après qu’un combattant allié Monté ait fait une action de Combat (Basique), mais avant les attaques de réaction. Le combattant peut immédiatement effectuer un action de Retraite (Basique). Les attaques de réaction ne peuvent être effectuées que si le combattant est toujours engagé avec le combattant ennemi.
../TacticsCards/ESCHER VEHICLES/Reckless Driving.png;Reckless Driving;Escher Vehicle Tactics;"Play this gang tactic when activating a friendly
vehicle before performing any actions.

For the duration of this activation, when
performing a Move (Simple) action, the vehicle
may make an extra pivot of up to 90 degrees at
any point before, during or after its move.";Conduite imprudente;Véhicules Escher;Jouez cette tactique lors de l'activation d'un véhicule allié, avant d’effectuer toute action. Pendant la durée de cette activation, lorsque il effectue une action de déplacement (simple), le véhicule peut effectuer un pivot supplémentaire allant jusqu'à 90 degrés à tout moment avant, pendant ou après son déplacement.
../TacticsCards/ESCHER VEHICLES/Roaring Charge.png;Roaring Charge;Escher Vehicle Tactics;"Play this gang tactic when activating a friendly
fighter subject to the Mounted condition, before
performing any actions.

For the duration of this activation, if the fighter
performs a Charge (Double) action they may add
an additional D6"" to the distance moved.";Charge rugissante;Véhicules Escher;"Jouez cette tactique lors de l'activation d'un combattant allié Monté, avant effectuer des actions. Pendant la durée de cette activation, si le combattant effectue une action de Charge (Double) qu'ils peuvent ajouter un D6"" supplémentaire à la distance parcourue."
../TacticsCards/ESCHER VEHICLES/Steel Blur.png;Steel Blur;Escher Vehicle Tactics;"Play this gang tactic when activating a friendly
fighter subject to the Mounted condition before
performing any actions.

For the duration of this activation, Reaction
attacks cannot be made against any Ride By
attacks made by this fighter.";Flou d’acier;Véhicules Escher;Jouez cette tactique lors de l'activation d'un combattant allié Monté, avant effectuer des actions. Pendant la durée de cette activation, les attaques de réaction ne peuvent pas être lancées contre une attaque Ride By effectuée par ce combattant.
../TacticsCards/ESCHER VEHICLES/The Last Ride.png;The Last Ride;Escher Vehicle Tactics;"Play this card when a friendly fighter subject to
the Mounted condition is taken Out of Action
before removing them from the battlefield.

The fighter immediately changes its Status to
Standing and may perform one action. The
fighter is then removed from the battlefield. If
they are taken Out of Action during this action
(for example, due to Reaction attacks) do not roll
an additional time on the Lasting Injury table,
though the enemy model will gain XP as normal
for taking them Out of Action.";La dernière chevauchée;Véhicules Escher;Jouez cette tactique lorsqu'un combattant allié Montée et mis Out of action, avant de le retirer du champ de bataille. Le combattant change immédiatement son statut en Debout et peut effectuer une action puis il est retiré du champ de bataille. Si ils sont mis Out of Action pendant cette action (par exemple, en raison d'attaques de réaction) ne faite pas un jet supplémentaire sur le tableau Lasting injuries, cependant la figurine ennemie gagnera de l'XP comme d'habitude pour l’avoir mis Out of Action.
../TacticsCards/ESCHER VEHICLES/Wheels Down.png;Wheels Down;Escher Vehicle Tactics;"Play this gang tactic when a friendly fighter
subject to the Mounted condition falls, before
resolving any hits for falling.

The fighter takes no damage from the fall and is
not placed Prone.";Roues au sol;Véhicules Escher;Jouez cette tactique lorsqu'un combattant allié Monté tombe, avant résoudre les touches de chute. Le combattant ne subit aucun dégât de la chute et n’est pas cloué.
../TacticsCards/ESCHER VEHICLES/White Line Fury.png;White Line Fury;Escher Vehicle Tactics;"Play this gang tactic when activating a friendly
vehicle before performing any actions.

For the duration of this activation, the vehicle
treats the Move & Shoot action as a Simple
action instead of a Basic action.";Fureur de la ligne blanche;Véhicules Escher;Jouez cette tactique lors de l'activation d'un véhicule allié, avant d’effectuer toute action. Pendant la durée de cette activation, le véhicule traite l'action Move & Shoot comme (simple) action au lieu de (basique).
../TacticsCards/ESCHER VEHICLES/Wreckin' Crew.png;Wreckin' Crew;Escher Vehicle Tactics;"Play this gang tactic during the post-battle
sequence when receiving scenario rewards.

If any enemy vehicles were Wrecked then add 1
to your gang's Reputation.";Équipe de démolition;Véhicules Escher;Jouez cette tactique pendant durant la phase d’après-bataille, lors de la réception des récompenses du scénario. Si des véhicules ennemis ont été détruits, ajoutez 1 à la réputation de votre gang.
../TacticsCards/GENERIC CARDS/A Good Day.png;A Good Day;Conspiracy;"Play at the start of the game after both sides have
set up.

Choose a Champion or Leader model in your
crew. Tuck this card under that fighter's card.
For the duration of the game, Cool checks for
other fighters from your gang have a +2

modifier if ee within 3"" of the chosen
Champion or Leader.";Une bonne journée;Conspiration;"Jouez au début de la partie, une fois que les deux gangs sont déployés. Choisissez un Champion ou un Leader dans votre gang. Placez cette carte sous la carte de ce combattant. Pendant toute la durée de la partie, les tests de Cool des autres combattants de votre gang ont un bonus de +2 s’ils se trouvent dans les 3"" du Champion ou Leader choisi."
../TacticsCards/GENERIC CARDS/A Present for You!.png;A Present for You!;Gang Tactics;"Play this card when your opponent activates one
of their fighters, even if the fighter was activated
as part of a Group Activation. Centre the 3"" Blas
marker on the fighter who has just activated, then
roll the Scatter dice and a D6 to see where the
marker moves to. If a Hit is rolled on the Scatter
dice, the marker remains where it is. Roll a D6 on
the table below to determine what kind of
Traits(s) the blast has: [1-2 Concussion,3-4 Flash
5-6 Fear, Gas]. Any fighters under the marker
immediately suffer a hit with the Trait(s) listed.";Un cadeau pour vous !;Générique ;"Jouez cette tactique lorsque votre adversaire active un de ses combattants, même si le combattant a été activé dans le cadre d’une Activation de Groupe. Centrez le gabarit de Blast 3"" sur le combattant qui vient de s'activer, puis lancez les dés de Scatter et un D6. Si un Hit est obtenu sur le dé Scatter, le marqueur reste là où il se trouve. Lancez un D6 sur le tableau ci-dessous pour déterminer de quel type est l’explosion : [1-2 Concussion, 3-4 Flash 5-6 Fear, Gas]. Tous les combattants sous le marqueur subissent immédiatement une touche avec le(s) trait(s) répertorié(s)."
../TacticsCards/GENERIC CARDS/Adrenaline Surge.png;Adrenaline Surge;Gang Tactics;"Play when activating a fighter.
The fighter can make one additional action
this turn.";Montée d'adrénaline;Générique;Jouez cette tactique lors de l'activation d'un combattant. Le combattant peut effectuer une action supplémentaire ce tour.
../TacticsCards/GENERIC CARDS/Ancient Vox Box.png;Ancient Vox Box;Gang Tactics;"Play when activating a fighter. When this card is
played, decide how many times the activating
fighter will turn the crank (1-3 times). Roll that
many D6, add and consult table below (effects
last until the end of the current Round):

1-4; All fighters within 12"" reduce their Cool checks
by -2. 5-8: All fighters within 12"" add 1 to their
Movement. 9-12: No fighter within 18"" may be the
target of Gang Tactics or Skills. 13+: All fighters
(including the activating fighter) within 12"" must
make a Nerve test or become Broken.";Antique boîte vox;Générique;"Jouez cette tactique lors de l'activation d'un combattant. Décidez combien de fois le combattant tournera la manivelle (1 à 3 fois). Lancez autant de D6, additionnez-les et consultez le tableau ci-dessous (effets jusqu'à la fin du round en cours) : 1-4 ; Tous les combattants à au moins 12"" réduisent leurs tests de Cool. par -2. 5-8 : Tous les combattants à au moins 12"" ajoutent 1 à leur Mouvement. 9-12 : Aucun combattant à au moins 18"" ne peut être le cible des tactiques ou des Skills. 13+ : Tous les combattants (y compris le combattant qui l'active) dans un rayon de 12"" doit faire un Nerve test ou devenir broken."
../TacticsCards/GENERIC CARDS/Authority Breakdown.png;Authority Breakdown;Gang Tactics;"| Play this card during any Action phase, after
Fleeing the Battlefield but before Activate
Fighters.

For the duration of this round, the range of
Leading by Example for your opponent's
Leader is decreased to 3"". If your opponent's
leader is not available for this battle, discard
this card.";Effondrement de l’autorité;Générique;"Jouez cette tactique pendant une phase d’action, après les déroutes mais avant d'activer les combattants. Pendant la durée de ce tour, la portée de Leading by example du leader de votre adversaire est diminué à 3"". Si le Leader de votre adversaire n'est pas présent durant cette bataille, défaussez-vous cette carte."
../TacticsCards/GENERIC CARDS/Bait and Switch.png;Bait and Switch;Gang Tactics;"| Play this card instead of activating a fighter.
Take a Ready marker from any of your
fighters and place it on a fighter who has |
already activated this round.";Appât et diversion;Générique;Jouez cette tactique au début d’un round, avant que les joueurs n’aient effectué le jet d’Initiative. Choisissez deux combattants alliés sur le champ de bataille qui ne sont pas Engagés. Échangez leurs positions.
../TacticsCards/GENERIC CARDS/Battle Madness.png;Battle Madness;Gang Tactics;"Play instead of activating a fighter.

Choose a Broken Fighter from either gang. They
immediately make a ranged attack against the
closest fighter they can see, friend or foe. If they
are in base contact with another fighter, they
make close combat attacks instead.";Folie guerrière;Générique;Jouez cette tactique au lieu d'activer un combattant. Choisissez un combattant Broken de l’un ou l’autre gang. Il effectue immédiatement une attaque à distance contre le combattant le plus proche qu'ils puissent voir, ami ou ennemi. S'il est en contact avec un autre combattant, il effectue plutôt des attaques de combat rapproché.
../TacticsCards/GENERIC CARDS/Beast Lure.png;Beast Lure;Gang Tactics;"A fighter can spend an action to play this card.
Place the Beast's Lair marker within 3"" of this
fighter. Then, uae can move up to D6"". If they
end the action within 6"" of the lair, there is a
chance they will be attacked as normal.";Appât à bête;Générique;"Un combattant peut dépenser une action pour jouer cette carte. Placez le marqueur Beast's Lair à au moins 3"" de ce marqueur. combattant. Ensuite, il peut se déplacer de D6"". S'ils terminez l'action à au moins 6"" du repaire, il y a une chance qu'ils soient attaqués normalement."
